beta.1,beta.2,beta.3,beta.4,beta.5,beta.6,beta.7
1.48345,1.66839,-0.291976,-0.0778709,0.137826,-0.154818,0.076149
1.28839,1.75839,-0.280151,-0.049714,0.133312,-0.166961,0.0755503
1.36529,1.83556,-0.13353,-0.056448,0.143858,-0.178928,0.0530841
1.42008,1.76705,-0.186522,-0.0346011,0.134013,-0.179696,0.0641098
0.926926,1.91139,-0.191275,0.0278008,0.112447,-0.196863,0.0729552
1.39109,1.73041,-0.310127,-0.0541055,0.135147,-0.164573,0.0812642
1.77511,1.63651,-0.190745,-0.0891967,0.116843,-0.159855,0.070068
1.58369,1.65304,-0.276838,-0.0600041,0.125624,-0.162719,0.0797273
1.40632,1.69178,-0.304879,-0.0548628,0.130255,-0.160373,0.0815396
1.48326,1.68473,-0.308088,-0.0528026,0.125475,-0.165115,0.0841983
1.09659,1.84008,-0.334239,-0.00647884,0.160177,-0.184222,0.0727498
1.41658,1.7881,-0.200898,-0.0396459,0.126139,-0.181993,0.0664378
1.33746,1.75652,-0.310595,-0.0455108,0.137603,-0.169614,0.0807361
1.25103,1.8139,-0.384826,-0.0398335,0.163975,-0.176017,0.0788566
1.25088,1.7728,-0.366046,-0.0171223,0.160926,-0.178738,0.0755486
1.33739,1.71313,-0.322951,-0.0307333,0.125031,-0.169299,0.0858551
1.65605,1.6674,-0.282661,-0.0914483,0.138882,-0.15735,0.0735351
1.61069,1.71661,-0.10602,-0.078408,0.11242,-0.167801,0.0603112
1.10795,1.77186,-0.359237,-0.012297,0.139504,-0.171876,0.0867635
1.25501,1.77585,-0.21071,-0.0286381,0.132475,-0.174708,0.0660826
1.35906,1.75345,-0.297814,-0.0412305,0.144054,-0.173067,0.0746687
1.53588,1.72886,-0.227512,-0.0712813,0.141154,-0.167152,0.0646707
0.989084,1.84915,-0.236898,0.0213358,0.115172,-0.190059,0.0780454
1.17917,1.87291,-0.0599896,-0.0134482,0.111417,-0.189903,0.0544798
0.538659,2.01028,-0.38852,0.0858066,0.160847,-0.212453,0.0786742
0.851983,1.95826,-0.361284,0.0315596,0.181995,-0.203615,0.0649026
1.43088,1.69589,-0.151744,-0.0360691,0.0848607,-0.168819,0.0808147
